code,company_name,l5_tag_count,chain_count,mapping_count,l5_tags,chains,chain_l5_pairs,best_tier,avg_growth_score,avg_profit_score,avg_moat_score,avg_total_score,max_total_score,price,today_pct,chg5,chg20,chg60,amount_yi,time,latest_trade_date,avg_business_sales_pct,avg_business_gross_margin
688256.SH,寒武纪,2,2,2,AI芯片、量子计算相关算力替代观察,AI算力、量子科技,AI算力:AI芯片；量子科技:量子计算相关算力替代观察,第一梯队,15.0,12.0,19.5,75.3,83.0,1402.0,2.19,-8.84,-0.44,37.34,77.7,11:00:58,20260702,99.69,55.22
300045.SZ,华力创通,2,2,2,卫星导航/低空通信、卫星通信,低空经济、未来空间/商业航天,未来空间/商业航天:卫星通信；低空经济:卫星导航/低空通信,第二梯队,0.0,7.8,18.0,72.8,73.8,17.23,2.01,0.48,-10.45,-21.19,1.72,11:00:57,20260702,46.95,34.61
600522.SH,中天科技,2,2,2,光通信/海缆、超导/电缆,核聚变能、第六代移动通信,核聚变能:超导/电缆；第六代移动通信:光通信/海缆,第二梯队,8.1,6.3,20.5,67.4,72.4,52.23,1.26,-24.26,14.67,75.92,66.75,11:00:59,20260702,28.22,18.75
300274.SZ,阳光电源,2,2,2,储能逆变器、制氢电源/电解槽,未来能源、氢能,未来能源:储能逆变器；氢能:制氢电源/电解槽,第二梯队,1.3,12.0,16.0,59.9,66.1,128.42,0.45,-16.26,-25.15,0.46,39.02,11:00:57,20260702,41.81,36.49
688277.SH,天智航,2,2,2,手术机器人、手术机器人/神经外科线索,未来健康、脑机接口,脑机接口:手术机器人/神经外科线索；未来健康:手术机器人,暂不优先,0.0,8.0,14.5,40.5,46.0,17.92,3.05,1.81,3.2,-23.79,1.12,11:00:52,20260702,57.45,73.51
300308.SZ,中际旭创,1,2,2,高速光模块,AI算力、第六代移动通信,AI算力:高速光模块；第六代移动通信:高速光模块,第一梯队,15.0,12.0,19.5,94.5,98.0,1173.79,2.69,-13.63,-10.35,96.39,211.19,11:00:57,20260702,97.95,42.61
300502.SZ,新易盛,1,2,2,高速光模块,AI算力、第六代移动通信,AI算力:高速光模块；第六代移动通信:高速光模块,第一梯队,15.0,12.0,19.5,89.3,96.0,547.6,7.58,-16.62,-34.93,13.75,191.68,11:00:57,20260702,99.72,47.81
688012.SH,中微公司,1,1,1,刻蚀设备,半导体设备/材料/EDA/IP,半导体设备/材料/EDA/IP:刻蚀设备,第一梯队,15.0,12.0,22.0,100.0,100.0,417.64,2.14,2.45,43.01,36.67,77.28,11:00:58,20260702,100.0,39.17
688072.SH,拓荆科技,1,1,1,薄膜沉积,半导体设备/材料/EDA/IP,半导体设备/材料/EDA/IP:薄膜沉积,第一梯队,15.0,12.0,22.0,100.0,100.0,832.0,0.0,13.35,23.7,,0.0,11:00:58,20260626,96.57,34.0
300503.SZ,昊志机电,1,1,1,关节模组/核心部件,具身智能,具身智能:关节模组/核心部件,第一梯队,15.0,12.0,20.0,99.0,99.0,102.6,8.14,19.08,26.54,74.73,33.77,11:00:57,20260702,66.78,37.53
688019.SH,安集科技,1,1,1,CMP材料,半导体设备/材料/EDA/IP,半导体设备/材料/EDA/IP:CMP材料,第一梯队,10.2,12.0,22.0,98.2,98.2,294.8,-2.19,12.23,8.03,20.43,22.89,11:00:59,20260702,81.45,58.28
600378.SH,昊华科技,1,1,1,特种气体/材料,核聚变能,核聚变能:特种气体/材料,第一梯队,13.3,7.7,22.0,95.0,95.0,77.45,-5.74,20.13,97.29,169.15,60.09,11:00:59,20260702,59.55,21.61
002979.SZ,雷赛智能,1,1,1,运动控制,具身智能,具身智能:运动控制,第一梯队,10.9,12.0,20.0,94.8,94.8,69.55,10.0,20.83,20.44,73.52,3.61,11:00:54,20260702,49.18,28.09
688580.SH,伟思医疗,1,1,1,康复/神经刺激,脑机接口,脑机接口:康复/神经刺激,第一梯队,11.2,11.6,20.0,94.8,94.8,57.51,-0.6,3.01,12.48,9.19,0.84,11:00:51,20260702,40.92,70.45
