trade_date,trigger_stock_count,trigger_stocks,concept_count,concepts,bond_count,evaluable_trades,wins,win_rate,avg_return_pct
2026-02-02,1,"民爆光电(301362,封单5.43亿)",2,生态农业、人民币贬值受益,50,18,0,0.0,-2.9855
2026-02-03,0,,0,,0,0,0,,
2026-02-04,0,,0,,0,0,0,,
2026-02-05,0,,0,,0,0,0,,
2026-02-06,0,,0,,0,0,0,,
2026-02-09,1,"中文在线(300364,封单5.75亿)",2,数据确权、高市净率,21,5,5,100.0,1.2276
2026-02-10,0,,0,,0,0,0,,
2026-02-11,0,,0,,0,0,0,,
2026-02-12,0,,0,,0,0,0,,
2026-02-13,0,,0,,0,0,0,,
2026-02-24,0,,0,,0,0,0,,
2026-02-25,0,,0,,0,0,0,,
2026-02-26,0,,0,,0,0,0,,
2026-02-27,0,,0,,0,0,0,,
